team_id,opp_id,games,wins,losses,ties,pf,pa,point_diff
1,2,31,16,15,0,2953.0,2871.0,82.0
1,3,17,10,7,0,1655.0,1424.0,231.0
1,4,21,11,10,0,2253.0,2200.0,53.0
1,5,18,9,9,0,1849.0,1893.0,-44.0
1,6,19,8,10,1,2006.0,2093.0,-87.0
1,7,20,11,8,1,2315.0,2200.0,115.0
1,8,14,6,8,0,1270.0,1329.0,-59.0
1,9,12,8,4,0,1144.0,1062.0,82.0
1,10,28,15,13,0,2681.0,2595.0,86.0
1,11,11,5,6,0,1001.0,981.0,20.0
1,12,23,12,11,0,2096.0,2094.0,2.0
2,1,31,15,16,0,2871.0,2953.0,-82.0
2,3,18,9,8,1,1440.0,1528.0,-88.0
2,4,20,14,6,0,2086.0,1915.0,171.0
2,5,20,8,12,0,2170.0,2357.0,-187.0
2,6,19,7,12,0,1958.0,2060.0,-102.0
2,7,16,7,9,0,1578.0,1496.0,82.0
2,8,17,10,7,0,1687.0,1598.0,89.0
2,9,14,4,10,0,1309.0,1392.0,-83.0
2,10,24,9,14,1,1956.0,2112.0,-156.0
2,11,11,4,7,0,1032.0,1082.0,-50.0
2,12,24,14,9,1,2324.0,2191.0,133.0
3,1,17,7,10,0,1424.0,1655.0,-231.0
3,2,18,8,9,1,1528.0,1440.0,88.0
3,4,19,7,11,1,1807.0,1945.0,-138.0
3,5,29,7,22,0,2467.0,2951.0,-484.0
3,6,17,10,7,0,1859.0,1708.0,151.0
3,7,17,3,14,0,1476.0,1879.0,-403.0
3,8,20,9,11,0,1970.0,1958.0,12.0
3,9,25,9,16,0,2250.0,2658.0,-408.0
3,10,14,4,10,0,1252.0,1289.0,-37.0
3,11,25,16,8,1,2349.0,2206.0,143.0
3,12,13,6,7,0,1318.0,1213.0,105.0
4,1,21,10,11,0,2200.0,2253.0,-53.0
4,2,20,6,14,0,1915.0,2086.0,-171.0
4,3,19,11,7,1,1945.0,1807.0,138.0
4,5,19,9,10,0,1783.0,1996.0,-213.0
4,6,30,14,14,2,2909.0,2901.0,8.0
4,7,27,8,19,0,2258.0,2529.0,-271.0
4,8,28,16,12,0,2538.0,2510.0,28.0
4,9,12,3,9,0,1102.0,1208.0,-106.0
4,10,12,6,6,0,1061.0,1098.0,-37.0
4,11,12,5,7,0,1052.0,1255.0,-203.0
4,12,14,8,6,0,1539.0,1484.0,55.0
5,1,18,9,9,0,1893.0,1849.0,44.0
5,2,20,12,8,0,2357.0,2170.0,187.0
5,3,29,22,7,0,2951.0,2467.0,484.0
5,4,19,10,9,0,1996.0,1783.0,213.0
5,6,18,12,5,1,2004.0,1891.0,113.0
5,7,17,11,6,0,1741.0,1653.0,88.0
5,8,18,13,5,0,2024.0,1697.0,327.0
5,9,27,9,17,1,2485.0,2589.0,-104.0
5,10,15,11,4,0,1790.0,1655.0,135.0
5,11,22,18,4,0,2382.0,2017.0,365.0
5,12,11,6,5,0,1155.0,1009.0,146.0
6,1,19,10,8,1,2093.0,2006.0,87.0
6,2,19,12,7,0,2060.0,1958.0,102.0
6,3,17,7,10,0,1708.0,1859.0,-151.0
6,4,30,14,14,2,2901.0,2909.0,-8.0
6,5,18,5,12,1,1891.0,2004.0,-113.0
6,7,29,16,12,1,2814.0,2677.0,137.0
6,8,28,18,10,0,2599.0,2298.0,301.0
6,9,16,6,10,0,1653.0,1875.0,-222.0
6,10,15,7,8,0,1521.0,1461.0,60.0
6,11,11,5,6,0,1028.0,1050.0,-22.0
6,12,12,5,7,0,1246.0,1184.0,62.0
7,1,20,8,11,1,2200.0,2315.0,-115.0
7,2,16,9,7,0,1496.0,1578.0,-82.0
7,3,17,14,3,0,1879.0,1476.0,403.0
7,4,27,19,8,0,2529.0,2258.0,271.0
7,5,17,6,11,0,1653.0,1741.0,-88.0
7,6,29,12,16,1,2677.0,2814.0,-137.0
7,8,32,14,18,0,3080.0,3362.0,-282.0
7,9,13,5,8,0,1121.0,1352.0,-231.0
7,10,15,6,9,0,1532.0,1620.0,-88.0
7,11,18,9,9,0,1991.0,2010.0,-19.0
7,12,10,6,4,0,1094.0,944.0,150.0
8,1,14,8,6,0,1329.0,1270.0,59.0
8,2,17,7,10,0,1598.0,1687.0,-89.0
8,3,20,11,9,0,1958.0,1970.0,-12.0
8,4,28,12,16,0,2510.0,2538.0,-28.0
8,5,18,5,13,0,1697.0,2024.0,-327.0
8,6,28,10,18,0,2298.0,2599.0,-301.0
8,7,32,18,14,0,3362.0,3080.0,282.0
8,9,15,4,10,1,1386.0,1638.0,-252.0
8,10,12,6,6,0,1135.0,1237.0,-102.0
8,11,15,7,8,0,1401.0,1514.0,-113.0
8,12,15,8,7,0,1604.0,1564.0,40.0
9,1,12,4,8,0,1062.0,1144.0,-82.0
9,2,14,10,4,0,1392.0,1309.0,83.0
9,3,25,16,9,0,2658.0,2250.0,408.0
9,4,12,9,3,0,1208.0,1102.0,106.0
9,5,27,17,9,1,2589.0,2485.0,104.0
9,6,16,10,6,0,1875.0,1653.0,222.0
9,7,13,8,5,0,1352.0,1121.0,231.0
9,8,15,10,4,1,1638.0,1386.0,252.0
9,10,14,7,7,0,1517.0,1532.0,-15.0
9,11,23,16,7,0,2158.0,1996.0,162.0
9,12,13,8,5,0,1259.0,1115.0,144.0
10,1,28,13,15,0,2595.0,2681.0,-86.0
10,2,24,14,9,1,2112.0,1956.0,156.0
10,3,14,10,4,0,1289.0,1252.0,37.0
10,4,12,6,6,0,1098.0,1061.0,37.0
10,5,15,4,11,0,1655.0,1790.0,-135.0
10,6,15,8,7,0,1461.0,1521.0,-60.0
10,7,15,9,6,0,1620.0,1532.0,88.0
10,8,12,6,6,0,1237.0,1135.0,102.0
10,9,14,7,7,0,1532.0,1517.0,15.0
10,11,11,4,7,0,915.0,1003.0,-88.0
10,12,24,9,15,0,2299.0,2396.0,-97.0
11,1,11,6,5,0,981.0,1001.0,-20.0
11,2,11,7,4,0,1082.0,1032.0,50.0
11,3,25,8,16,1,2206.0,2349.0,-143.0
11,4,12,7,5,0,1255.0,1052.0,203.0
11,5,22,4,18,0,2017.0,2382.0,-365.0
11,6,11,6,5,0,1050.0,1028.0,22.0
11,7,18,9,9,0,2010.0,1991.0,19.0
11,8,15,8,7,0,1514.0,1401.0,113.0
11,9,23,7,16,0,1996.0,2158.0,-162.0
11,10,11,7,4,0,1003.0,915.0,88.0
11,12,10,3,7,0,896.0,992.0,-96.0
12,1,23,11,12,0,2094.0,2096.0,-2.0
12,2,24,9,14,1,2191.0,2324.0,-133.0
12,3,13,7,6,0,1213.0,1318.0,-105.0
12,4,14,6,8,0,1484.0,1539.0,-55.0
12,5,11,5,6,0,1009.0,1155.0,-146.0
12,6,12,7,5,0,1184.0,1246.0,-62.0
12,7,10,4,6,0,944.0,1094.0,-150.0
12,8,15,7,8,0,1564.0,1604.0,-40.0
12,9,13,5,8,0,1115.0,1259.0,-144.0
12,10,24,15,9,0,2396.0,2299.0,97.0
12,11,10,7,3,0,992.0,896.0,96.0
